,SEENJOY,SEGRADES,SEABSNT,SEREPEAT,SESUSPIN,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSFUNDRS,FSCOMMTE,FSATCNFN,FSCOUNSLR,FSFREQ,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FOHISTX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,FOSPRTEVX,FHCHECKX,FHHELP,FORESPON,FODINNERX,FPWT,pi_pro_schl_feats_comp,pi_pro_hm_feats_comp
4278,1,1,6,2,2,2,2,2,1,2,1,2,2,15,1,1,1,2,2,2,1,2,2,1,1,2,2,3,1,2,4,1122.8046031147198,10,20
4279,2,1,5,2,1,2,2,2,1,2,1,2,2,4,1,1,1,1,1,2,1,1,2,1,1,2,1,3,3,2,4,1829.9859809764498,10,16
4280,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,4,3,2,3,1792.8594268343302,8,18
4281,2,1,5,2,2,2,2,2,1,2,2,1,1,75,2,1,1,2,2,1,1,1,1,2,2,2,2,4,3,1,5,2455.6263940814397,11,20
4282,2,1,1,2,2,2,1,2,2,2,1,2,1,10,2,1,2,1,2,1,1,1,2,1,1,1,2,2,5,1,6,5193.73180871127,10,18
4284,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,3,2,2,3,4767.842883201571,6,19
4285,1,4,10,2,2,2,1,2,2,1,1,2,1,3,2,1,1,2,2,1,1,1,1,2,1,2,1,4,4,2,3,13516.754566736101,9,18
4287,1,1,0,2,2,2,2,2,1,2,1,2,2,5,2,2,2,2,2,2,1,2,1,2,1,2,2,3,2,2,7,4460.900200775201,10,23
4288,1,1,0,2,2,2,1,2,1,2,1,1,1,12,2,1,2,1,2,1,2,1,1,1,1,2,2,4,3,1,4,2499.03887285398,9,19
4289,1,1,2,2,2,2,1,2,1,2,1,1,2,4,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,4,1329.08713302219,9,15
4290,2,1,4,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,2,1,1,4,3,2,1,1522.8796748434,7,18
4291,1,1,7,2,1,1,1,1,2,1,1,1,2,6,2,1,2,2,2,2,1,2,2,1,1,2,2,4,2,2,3,4934.78584285376,7,22
4293,2,3,7,2,2,1,2,1,2,2,1,2,1,6,1,1,1,2,2,2,2,2,2,1,2,1,1,4,3,2,5,4051.07908336698,9,20
4295,1,2,5,2,2,2,2,2,2,2,1,2,1,20,2,2,2,2,2,1,2,1,2,2,1,2,2,4,1,1,7,4468.11793744615,11,23
4296,2,2,6,2,2,2,1,2,2,2,1,2,1,6,2,2,2,2,2,1,1,1,1,1,1,2,1,4,4,2,5,7321.774010984201,10,19
4299,1,1,4,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,2,2,4,2,2,5,878.0691184646221,6,17
4301,1,1,2,2,2,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,993.127784279919,6,17
4302,2,2,6,2,2,2,1,2,1,2,1,2,1,3,1,2,2,2,2,1,2,1,2,1,1,1,2,3,3,1,7,3288.73116703462,9,20
4303,2,1,5,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,4,2,2,4,2225.68464650953,9,16
4304,2,2,3,2,2,2,1,2,1,2,1,2,1,4,1,1,2,2,2,1,1,1,2,1,1,2,2,4,2,1,7,21549.333462186998,9,19
4305,2,2,9,2,2,2,2,2,1,2,1,2,1,4,1,1,1,1,1,2,1,2,2,2,1,1,1,3,5,2,6,1279.92766981037,10,17
4307,2,1,2,2,2,2,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2666.8944568602,8,14
4308,2,1,30,2,2,1,1,2,2,2,1,2,2,4,2,1,1,2,1,2,1,2,1,1,1,2,1,4,1,2,5,690.561377306838,9,18
4309,1,1,4,2,2,2,2,2,1,2,2,1,1,11,1,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,7,1914.7662138525,11,20
4311,2,1,11,2,1,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,4,5,2,7,4513.49099656355,9,16
4313,1,1,0,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,4,2,2,7,3150.8145823392997,7,21
4314,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,7,3361.83627390839,7,15
4315,2,1,5,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,935.647642146929,8,13
4317,2,1,15,2,2,2,1,2,1,1,1,1,1,5,1,2,1,2,1,2,2,2,1,1,1,2,1,4,1,1,5,638.926780885271,8,19
4318,1,1,7,2,2,2,2,2,1,2,1,2,1,10,1,2,2,2,2,1,1,2,2,2,1,2,1,4,1,2,2,8720.215070331351,10,21
4320,3,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,1,1,1,1,2,2,3,5,2,3,4371.60859256781,6,20
4321,2,2,8,1,2,2,2,2,2,2,1,2,1,5,2,2,2,2,2,2,1,2,1,2,1,2,1,4,3,2,5,4811.6251568589005,11,22
4322,1,1,1,2,2,2,1,1,1,2,1,2,1,4,1,2,2,1,2,2,2,1,2,1,1,1,1,4,3,2,7,12796.3267706537,8,19
4323,2,2,3,2,1,2,1,2,2,1,1,2,1,4,1,1,2,2,2,2,1,1,1,1,1,1,2,4,1,2,2,2139.86213268425,9,18
4324,2,2,3,2,2,2,1,2,1,2,1,2,1,5,1,2,2,2,2,2,1,1,2,2,1,1,2,4,1,2,6,13803.8612415557,9,21
4325,3,4,0,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3,2,2,0,1543.22036781332,11,16
4326,2,2,2,2,2,2,2,2,2,2,2,2,1,60,2,1,2,2,2,2,2,2,2,2,1,1,1,4,4,1,4,2951.97691917715,12,22
4328,1,3,1,2,2,2,1,2,2,2,1,2,2,6,2,1,1,2,2,2,2,2,1,2,1,1,1,4,1,2,7,3292.17375659935,10,20
4329,1,1,5,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,4,5,2,0,1090.680945079,9,17
4330,3,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,3,959.0044695614321,7,15
4331,3,3,4,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,2008.4377986074103,8,16
4332,1,1,1,2,2,2,1,2,2,2,1,2,1,5,1,1,2,1,2,2,2,1,1,1,2,2,1,4,4,2,7,2858.9809434942895,10,19
4333,2,3,10,1,1,2,2,2,2,1,1,1,2,10,1,1,2,2,2,1,1,2,2,2,1,2,2,4,5,2,7,7225.04559660989,10,21
4334,1,1,8,2,2,2,1,2,2,1,1,2,1,6,1,1,2,1,2,2,1,2,1,1,1,1,2,4,1,2,4,8941.44319293673,9,18
4335,1,1,7,2,2,2,2,2,2,2,1,2,1,14,2,2,2,2,2,2,1,2,2,1,1,2,1,4,3,2,7,1479.83554186526,11,22
4337,2,1,2,2,2,2,1,2,1,2,1,2,2,3,1,1,1,1,2,2,2,1,2,1,1,2,1,4,3,1,0,988.049355057139,9,18
4338,2,2,2,2,2,2,1,1,1,2,1,1,1,5,1,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,4,1446.9108825199698,8,17
4339,2,1,4,2,2,1,1,2,1,2,1,2,2,5,2,2,1,1,2,2,1,2,1,1,1,2,1,4,4,1,6,2413.85461242558,8,19
4340,2,2,0,2,1,2,2,2,2,2,1,2,1,20,2,2,1,1,2,1,2,1,1,1,1,1,1,4,4,2,7,1801.17283615215,11,17
4341,1,1,0,2,2,2,1,2,1,1,1,1,2,8,2,1,1,2,2,2,1,2,2,2,2,2,2,4,1,2,3,1894.94388205376,8,23
4342,2,2,2,2,2,2,2,2,2,2,2,2,2,30,2,2,1,1,2,2,1,1,1,1,1,1,2,4,3,2,5,2500.06377746038,12,18
4344,3,1,3,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,4,3,2,5,1895.6449918243104,10,18
4346,1,1,2,2,2,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,0,1291.52307207688,7,13
4347,1,2,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,1,3,2,1,2,2063.52512987083,8,18
4348,2,1,4,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,7,799.010498000073,6,18
4349,1,1,0,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,4,4,2,5,2297.12646675433,10,21
4350,2,1,0,2,2,2,1,2,2,2,1,2,2,10,1,2,1,1,2,1,1,1,1,1,1,2,2,4,1,2,6,3087.78541976101,10,17
4351,1,1,1,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,2,1,4,2,2,3,2353.77101377225,11,16
4352,1,1,3,2,2,2,1,2,1,1,1,1,1,9,2,1,2,1,1,1,1,1,2,1,1,1,1,4,2,2,4,886.949673296964,8,16
4353,1,1,1,2,2,1,2,2,2,1,1,2,1,4,2,2,2,2,1,1,2,2,1,2,2,1,2,4,1,2,5,3106.00964846691,9,22
4355,2,1,0,2,2,2,1,2,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,7,926.7188669820401,9,14
4356,2,3,0,2,2,2,1,2,1,2,1,2,2,12,1,1,1,1,2,2,2,1,2,1,1,1,2,4,1,2,1,2739.4419563063298,9,18
4358,2,1,6,2,2,2,1,2,2,2,1,1,1,15,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2,5,1664.56663981865,10,17
4359,2,1,5,2,2,2,1,2,1,2,2,2,2,12,2,1,2,2,2,2,1,2,1,2,2,1,1,4,1,2,7,3499.66339784227,10,21
4360,1,1,1,2,2,2,1,2,1,2,1,2,2,5,2,1,2,2,2,2,2,1,2,2,2,2,1,3,2,2,7,6227.45976672443,9,23
4361,2,2,0,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,2,7,4292.461337585421,7,19
4365,4,4,11,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,4,3,2,4,5092.83755393021,8,22
4366,1,1,1,2,2,2,1,2,1,2,1,2,1,10,2,1,1,1,1,2,1,2,2,2,2,2,1,2,5,2,7,3163.18704267345,9,20
4367,2,2,3,2,2,2,2,2,2,2,2,2,1,20,1,2,1,2,2,1,2,1,2,1,1,2,1,4,3,2,5,2064.2969950967004,12,19
4368,2,2,1,2,2,2,2,2,1,2,1,1,1,8,1,2,2,1,2,2,1,1,1,1,1,1,1,4,1,1,5,12146.0178887067,10,17
4369,1,1,15,2,2,2,2,2,2,2,2,2,2,32,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,4,4107.11914743745,12,25
4370,3,2,12,2,2,2,1,2,1,1,1,2,1,4,2,2,1,2,2,1,1,2,1,2,2,1,1,3,3,1,7,2084.20965542977,8,20
4373,2,2,3,2,2,2,1,2,1,2,1,2,2,4,1,2,2,2,2,2,1,1,2,2,1,1,2,4,2,1,7,3483.7004869887105,9,21
4374,1,2,3,2,2,2,2,2,1,2,1,2,1,5,2,1,2,1,2,2,1,2,1,1,1,2,1,4,3,2,5,2861.2461502565,10,19
4376,2,2,10,2,2,2,1,2,1,1,1,2,2,15,2,1,1,2,2,2,1,1,1,1,1,2,2,4,2,2,7,729.9348477487309,8,19
4379,1,1,2,2,2,2,1,2,1,1,1,2,1,6,2,1,2,2,2,2,2,1,1,1,1,1,2,1,5,2,4,3488.11732142503,8,20
4380,3,1,3,2,2,2,2,2,1,2,2,2,2,7,1,1,2,2,2,1,2,2,2,2,2,2,2,4,4,1,7,3899.2743933802203,11,23
4381,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,0,25909.2208384348,9,17
4382,3,3,5,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,4,1,2,4,2992.7044954697803,7,15
4383,1,1,11,2,2,2,1,2,2,2,1,2,2,6,2,2,2,2,2,2,2,1,2,2,2,1,1,4,1,2,7,771.787612843974,10,23
4384,3,2,10,1,1,2,1,2,1,2,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,3,1685.4796819011701,9,13
4385,2,2,3,2,2,2,2,2,2,2,1,2,1,6,2,1,2,2,2,2,1,2,1,1,1,2,1,4,4,1,4,1896.4785245984801,11,20
4386,2,1,5,2,2,2,2,2,2,2,2,2,1,22,2,2,2,2,2,2,2,2,1,2,2,2,1,4,3,2,5,2128.79735918721,12,24
4387,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,1,1,2,2,4,3,1,7,1681.28531644953,9,21
4388,2,1,10,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,5,1,0,843.3371400870129,6,14
4389,1,2,5,2,2,2,1,2,1,2,1,2,1,5,2,1,2,1,2,1,1,1,1,1,1,1,1,1,5,1,3,2004.9852775517802,9,16
4390,2,1,0,2,2,1,1,2,2,1,1,1,2,6,2,1,2,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3135.82382273516,8,23
4391,2,1,2,2,2,2,2,2,2,2,1,2,2,8,2,2,2,2,2,1,1,1,2,2,2,2,1,4,4,1,4,2413.02627650181,11,22
4392,2,2,0,2,2,2,1,2,1,1,1,1,1,35,1,1,1,2,2,1,1,1,2,1,1,1,2,4,1,2,7,3482.4562491478005,8,17
4393,1,2,0,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,4,3,2,7,627.95544207769,7,20
4394,2,1,2,2,2,2,2,2,1,2,1,1,1,10,1,2,2,1,2,1,1,2,1,1,2,2,2,4,1,2,6,2760.50929313849,10,20
4396,1,1,10,2,2,2,2,2,1,1,1,2,2,6,2,1,2,1,1,2,2,1,1,1,1,1,1,4,3,1,7,4179.424150213161,9,17
4398,2,3,10,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,5,600.95031677472,10,20
4399,3,2,0,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,4,3,2,7,3552.07059235251,8,15
4400,2,2,2,2,2,2,1,2,2,2,1,2,1,8,1,1,2,2,2,1,2,1,1,1,1,2,2,4,3,1,6,922.4614571986771,10,19
4401,3,3,6,2,2,2,1,2,1,1,1,1,2,13,1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,2,5,3367.2537849979103,8,19
4402,2,2,5,2,2,2,2,2,2,2,2,2,2,7,1,2,2,2,2,1,1,2,1,1,2,2,1,4,2,1,5,11550.115969591101,12,20
4403,2,1,0,1,2,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,1,1,1,1,1,1,1,4,3,2,5,16290.866612600401,6,19
4405,1,1,8,2,2,2,1,2,1,2,1,1,1,6,2,1,2,1,2,2,1,1,1,1,1,1,1,4,4,2,5,10965.3031237576,9,17
4406,1,1,1,2,2,2,2,2,2,2,1,2,1,7,2,2,2,2,2,2,2,2,1,2,1,1,2,4,1,2,7,944.96494825746,11,23
4407,1,2,3,2,2,1,1,1,1,1,1,1,1,0,1,1,2,1,2,2,1,1,1,1,1,1,1,4,1,2,3,2196.84681507736,6,16
4409,2,2,3,2,2,1,1,1,1,1,1,2,2,10,2,2,2,2,2,2,1,1,1,2,1,1,1,4,4,2,0,5751.498043741851,6,20
4410,3,1,5,2,2,2,2,2,1,1,1,1,2,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,7,1394.6782091467098,9,15
4411,1,2,15,2,1,2,1,2,1,2,1,2,2,8,2,1,2,2,2,1,2,1,1,1,1,2,1,4,1,2,6,2650.07047659119,9,19
4412,1,2,3,2,2,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,5,2,7,7061.71556651732,9,15
4414,3,3,4,2,2,2,1,2,1,1,1,1,1,10,2,2,1,2,2,1,1,1,1,1,1,2,2,4,1,2,4,3109.94061828401,8,19
4415,3,2,4,2,2,2,1,2,2,2,1,2,2,3,2,2,2,1,2,1,1,1,2,1,1,2,2,4,1,1,5,7290.958315347991,10,20
4416,1,2,2,2,2,2,1,2,1,2,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,5,275.226242138714,9,15
4417,2,1,3,2,2,2,2,2,2,2,2,2,2,50,2,2,1,2,2,2,1,2,2,1,2,2,1,4,3,1,5,1171.9943653502498,12,22
4418,2,2,5,2,2,2,2,2,2,2,1,2,1,30,2,2,2,2,2,2,2,2,2,1,1,2,2,4,3,2,7,3065.94524200133,11,24
4419,3,4,2,2,2,2,1,2,2,1,1,2,2,4,2,2,1,2,2,2,1,1,2,1,1,2,1,1,5,1,2,1268.15792132032,9,20
4421,1,2,0,1,2,2,2,2,1,2,1,2,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,7,798.868980110244,10,13
4422,1,1,5,2,2,2,2,2,2,1,1,2,1,10,2,1,1,2,2,1,1,1,1,1,1,2,2,4,3,1,7,10026.2477145421,10,18
4423,1,1,3,2,2,2,2,2,2,2,2,2,1,20,2,2,2,2,2,1,2,1,2,1,2,1,2,4,4,2,3,6179.25180291075,12,22
4424,2,2,0,2,2,2,1,2,2,2,1,2,2,6,2,1,2,2,2,2,2,1,1,1,1,1,1,3,2,2,3,5992.74006529442,10,19
4425,2,1,1,2,2,2,2,2,2,2,2,2,1,12,2,2,2,2,2,2,2,1,2,2,1,2,1,4,4,2,6,2597.49840071606,12,23
4426,2,2,7,2,2,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,4,4,2,5,3777.9953333574394,8,20
4429,2,1,10,2,2,2,1,2,1,1,1,2,1,4,1,1,1,1,2,1,2,1,2,1,1,2,2,4,2,1,5,1959.1250666357198,8,18
4430,1,3,10,2,1,2,1,2,1,1,1,2,2,4,2,1,1,2,1,2,1,2,1,1,1,2,2,4,1,2,5,2123.33638461749,8,19
4431,1,2,0,2,2,2,1,2,1,2,1,2,2,6,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1624.7643210855801,9,17
4432,2,2,4,2,2,2,1,2,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,1,1,2,3,5,2,1,3504.7326211289396,8,15
4434,1,2,3,2,1,2,2,2,2,1,1,2,2,20,1,1,1,1,2,1,2,2,1,1,1,2,1,1,5,2,3,1113.68159230211,10,17
4435,2,3,2,2,2,2,2,2,1,2,1,2,2,5,2,1,1,1,2,1,1,1,1,1,2,1,2,4,3,2,7,15171.018643085301,10,17
4436,2,2,1,2,2,1,2,2,2,2,2,2,2,10,2,2,1,2,1,2,1,2,2,1,1,1,1,4,4,2,5,4554.724571739721,11,19
4438,2,1,4,2,2,2,2,2,1,2,1,1,2,4,2,1,1,2,2,2,1,1,2,1,1,1,2,3,3,1,3,3888.0920375370897,10,19
4439,1,1,0,2,2,2,1,2,2,1,1,2,2,3,2,1,1,2,1,2,2,1,1,1,1,1,1,4,3,2,3,3890.23891632854,9,17
4440,1,1,8,2,2,2,2,2,2,1,1,2,1,12,1,1,2,1,2,1,1,1,1,1,1,1,2,3,1,1,5,7582.319738336279,10,16
4441,2,2,10,2,2,1,1,2,1,1,1,1,2,3,1,1,1,1,2,2,1,1,1,1,1,2,1,3,1,2,4,992.550732043952,7,16
4442,1,2,8,2,2,2,1,2,1,2,1,2,1,12,1,2,2,2,2,2,2,1,2,2,1,2,2,4,1,2,5,3755.4706428264794,9,23
4443,1,2,1,2,2,2,2,2,1,2,1,1,1,9,2,2,2,2,2,2,2,1,2,1,1,2,2,3,2,2,5,7798.895126196109,10,23
4444,1,1,11,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,4,4,2,7,6563.2017335685105,11,21
4445,2,1,1,2,2,2,2,2,2,2,2,2,1,10,2,2,2,1,2,2,2,1,2,2,1,2,2,4,3,1,7,2401.6210350288898,12,23
4447,1,1,0,2,2,1,1,2,2,2,1,2,1,6,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,6,1922.55467306935,9,19
4448,1,1,3,2,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,3,2,2,6,1474.59948098201,8,17
4449,2,1,3,2,2,1,1,1,1,1,1,1,1,5,2,1,2,1,2,2,1,1,1,1,1,1,1,3,2,1,3,1246.04585230716,6,17
4450,2,2,1,2,2,2,1,2,2,1,1,2,1,4,1,1,2,2,2,1,1,1,1,1,2,1,1,4,1,1,4,6329.6110152742895,9,17
4451,2,2,1,1,2,2,1,2,2,1,1,2,1,10,2,2,1,2,2,1,1,1,2,1,1,2,2,3,1,2,5,2177.10102064386,9,20
4453,2,2,5,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,3,5,2,4,4156.967065782121,8,21
4454,1,1,1,2,2,2,1,1,2,2,1,2,1,3,2,2,2,1,1,2,1,1,1,1,2,1,1,4,4,2,5,3275.88051920002,9,18
4455,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,5,2,5,1351.9944939798,6,15
4456,1,1,0,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,4,4,2,7,3195.9743541220396,8,22
4458,2,1,5,2,2,2,1,2,1,1,1,2,2,6,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,2,3,1395.04094503646,8,19
4459,2,1,3,2,2,2,2,2,1,2,1,2,1,10,1,1,1,2,2,1,1,1,1,1,1,1,2,4,3,1,4,3443.98836735761,10,16
4463,2,1,0,2,2,2,1,2,1,2,1,1,1,4,2,2,2,2,2,2,1,1,1,2,1,1,1,4,3,2,3,1925.69299818658,9,20
4464,3,2,0,1,2,2,2,2,2,2,1,2,2,8,2,2,1,2,2,1,1,1,1,1,1,2,1,4,3,2,6,1771.9353688756798,11,18
4465,1,1,1,2,2,2,1,2,1,1,1,2,2,4,2,2,1,2,2,2,1,1,1,1,1,2,1,3,2,2,6,1859.1593285789802,8,19
4466,2,2,2,2,2,2,1,2,1,1,1,2,1,6,1,1,1,2,2,1,1,1,2,1,1,2,1,3,1,2,4,3650.97757552281,8,17
4467,1,1,4,2,2,2,2,2,1,2,2,2,1,18,2,1,1,1,2,2,2,2,1,1,2,2,1,3,2,2,7,2546.02516211894,11,20
4468,2,2,0,2,2,2,2,2,2,1,1,2,2,5,2,1,1,2,2,2,2,1,2,1,1,1,2,4,5,2,4,1279.93666294123,10,20
4469,2,2,2,2,2,2,1,2,1,2,1,2,1,5,2,1,1,1,2,1,1,1,2,1,1,1,1,3,1,2,6,2111.30492912543,9,16
4470,2,2,1,2,2,2,1,2,1,2,1,1,1,25,1,1,2,2,2,1,1,2,2,1,1,1,1,3,2,1,5,3878.2588812519703,9,18
4471,1,1,3,2,2,2,1,2,1,2,1,2,2,15,2,2,1,2,2,1,1,2,1,2,2,1,1,4,1,1,6,1309.71902316478,9,20
4472,2,1,5,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,5,800.299619983505,7,14
4475,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,5,2,3,383.575730215417,12,19
4476,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,3,2,1,5,1712.611418117,7,17
4477,1,2,3,2,2,2,2,2,2,2,1,2,1,12,2,2,2,2,2,2,2,2,1,2,1,2,1,3,1,2,5,2740.33213020731,11,23
4478,1,1,1,2,2,2,2,2,2,2,1,2,2,6,2,2,2,2,2,1,2,1,2,1,1,2,2,4,4,2,7,4454.80465244204,11,22
4480,4,3,10,2,2,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,2,2,6,991.427330470995,8,15
4483,2,1,5,2,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,2,2,1,1,1,1,1,1,3,2,1,7,2903.9839119116805,6,16
4484,1,1,1,2,2,2,1,2,1,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,1798.8183130352302,9,25
4485,1,2,2,2,2,1,1,1,1,1,1,1,1,0,1,2,2,2,2,2,1,2,1,1,1,2,2,4,5,2,7,5663.77601892843,6,21
4486,1,1,5,2,2,2,2,2,2,2,1,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,4,2053.13783254978,11,26
4487,1,2,3,2,2,2,2,2,1,2,1,2,1,10,2,2,2,2,2,1,1,2,1,1,1,2,2,4,4,1,7,3051.09767688175,10,21
4489,2,1,0,2,2,2,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,3,2,2,7,5151.57377937292,8,19
4490,1,1,5,2,2,2,1,2,2,2,1,2,1,7,2,1,2,2,2,2,1,1,1,1,1,2,1,4,2,2,7,1756.13992255068,10,19
4491,1,1,6,2,2,2,2,2,1,1,1,2,1,7,2,2,1,2,2,2,2,2,1,2,1,2,2,4,1,1,7,868.5832296421629,9,23
4492,2,2,2,2,2,2,1,2,2,2,1,2,2,8,1,1,2,2,1,2,1,1,2,1,1,1,1,4,2,2,5,1237.57633346133,10,17
4493,1,1,8,2,2,2,1,2,2,1,1,2,1,6,2,2,2,2,2,2,1,2,2,2,1,2,2,3,1,2,7,518.184473577678,9,24
4494,3,2,2,2,2,2,1,2,1,2,1,2,2,18,2,1,1,2,2,2,1,1,1,1,1,2,2,3,2,2,6,1810.5515394219299,9,19
4495,2,2,6,1,2,2,1,2,2,2,1,2,1,8,2,1,1,2,2,1,1,1,1,1,2,2,1,4,4,1,4,2899.20169963104,10,18
4496,1,1,0,2,2,1,1,2,2,2,1,2,2,57,2,2,2,2,2,1,2,2,2,1,2,1,1,4,4,1,7,4787.25714047913,9,22
4497,1,2,2,2,2,2,2,2,1,2,1,2,2,6,2,2,2,2,2,2,1,2,2,2,2,2,2,4,1,2,5,1363.7389660717301,10,25
4498,2,2,4,2,2,2,2,2,2,2,1,2,2,5,2,1,2,2,2,1,1,1,1,1,1,1,1,4,1,2,5,3426.2565198008697,11,17
4499,2,1,4,2,2,2,2,2,2,2,2,2,1,5,2,2,2,1,1,2,1,1,2,1,1,2,1,4,2,2,7,1480.4156398395598,12,19
4501,1,1,1,2,2,2,2,2,1,2,1,2,1,10,1,2,1,2,2,1,1,1,1,1,1,2,2,3,2,2,1,4567.22021701218,10,18
4502,1,1,1,2,2,2,2,2,1,2,2,1,2,50,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,5,5908.61655500051,11,23
4503,1,2,7,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,5,2,7,2104.75999735982,6,16
