,SEENJOY,SEGRADES,SEABSNT,SEREPEAT,SESUSPIN,FSSPORTX,FSVOL,FSMTNG,FSPTMTNG,FSFUNDRS,FSCOMMTE,FSATCNFN,FSCOUNSLR,FSFREQ,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FOHISTX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,FOSPRTEVX,FHCHECKX,FHHELP,FORESPON,FODINNERX,FPWT,pi_pro_schl_feats_comp,pi_pro_hm_feats_comp
45,2,3,14,2,1,2,1,2,1,1,1,1,2,3,1,2,1,2,2,2,1,2,1,1,2,1,1,4,1,2,4,1515.3590956539801,8,19
46,3,2,0,2,2,2,1,2,2,2,1,2,1,5,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,1,7,1843.6445491672,10,16
47,1,1,5,2,2,2,1,2,1,1,1,1,2,3,2,1,1,2,2,2,1,1,1,1,1,1,1,4,3,2,1,22025.9208595999,8,17
50,2,3,0,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,3215.4641708271897,6,13
51,3,4,3,1,2,2,2,2,2,2,1,2,2,10,2,2,2,2,1,2,2,2,1,1,1,2,1,4,4,2,7,1994.2948686192,11,21
52,1,1,2,2,2,2,2,2,1,2,1,2,2,6,1,2,1,2,2,1,1,1,1,1,1,2,2,3,1,2,2,2769.9465787881395,10,18
53,2,1,5,2,2,2,1,1,1,1,1,1,1,5,2,2,1,1,2,1,1,1,1,1,1,2,1,4,2,1,5,14279.087655441299,7,17
54,2,3,1,2,2,2,1,2,1,2,1,1,2,5,2,1,2,1,2,2,2,2,2,1,1,2,1,3,2,2,3,3399.4663585333396,9,21
55,2,1,8,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,4,5,2,7,2008.0025374027898,6,18
56,3,3,11,2,2,2,1,2,1,2,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,5,826.2517201451109,9,13
57,3,1,14,2,2,2,1,1,1,2,1,1,2,6,1,2,2,2,2,2,1,1,1,1,1,2,2,4,2,2,7,1375.33012573941,8,20
58,1,1,7,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,2,1,2,1,1,1,1,1,1,4,3,2,6,2187.13093052529,10,15
59,3,4,3,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,9461.0438056059,6,13
60,1,2,3,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,4,3,2,7,2868.57021898815,8,20
61,2,1,4,2,2,2,2,2,1,2,1,2,2,3,2,1,2,2,2,2,2,2,1,2,2,1,1,4,3,2,5,2082.31422578601,10,22
62,2,3,0,2,2,2,1,2,1,1,1,1,1,8,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,2,1279.08781062586,8,14
63,2,1,0,2,2,2,2,2,2,2,2,2,2,25,2,2,2,2,2,1,2,1,2,2,1,1,2,4,4,2,7,4070.10776492086,12,22
64,2,1,2,2,2,2,1,2,1,1,1,1,1,20,2,2,1,2,2,1,1,2,1,1,1,2,2,4,1,2,6,2634.00131950537,8,20
65,1,1,7,2,2,2,1,2,1,2,1,2,2,10,2,1,1,2,2,2,2,1,1,2,1,2,1,4,1,2,5,887.212505616051,9,20
66,3,2,12,2,2,2,2,2,2,1,1,2,2,4,1,1,2,2,2,2,1,1,1,1,1,2,2,3,1,1,2,2633.9456555667302,10,19
67,2,2,0,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,4,3,2,7,2716.34221813985,8,19
69,2,1,11,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,4,4,2,7,4459.02941590932,7,22
70,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,1,3,1,2,4,1810.361291945,8,18
71,3,1,0,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,2,4,2830.00626099638,8,15
72,2,3,11,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,4,2,1,5,1526.18626048543,6,17
73,2,1,5,2,2,2,2,2,2,2,2,2,2,25,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,6,2092.51369228162,12,21
76,1,2,27,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,4,1,2,7,4012.6984315776,7,20
77,1,1,4,2,2,2,1,2,2,1,1,2,1,4,2,2,2,2,2,2,2,2,1,1,1,1,1,4,3,2,7,7300.927301872321,9,21
79,2,1,3,2,2,2,2,2,2,1,1,2,1,20,2,1,2,1,2,2,2,2,2,2,1,2,2,4,2,2,4,1145.47134475997,10,23
80,1,1,5,2,2,2,1,2,1,2,1,1,1,10,2,1,2,1,1,1,1,1,1,1,1,1,1,4,3,2,4,1596.0481009045902,9,15
81,2,2,0,2,2,2,1,2,2,2,1,2,1,7,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,6,1616.49184507323,10,16
82,2,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,3,931.641850544654,6,13
85,1,2,0,1,2,2,1,2,2,1,1,2,1,30,1,2,2,1,2,2,2,1,1,2,1,1,1,4,2,2,7,12488.1459394248,9,19
86,1,1,0,2,2,2,2,2,2,2,1,2,1,5,2,1,2,2,2,2,2,2,2,2,1,2,2,4,1,2,7,2381.86063919645,11,24
87,2,1,3,2,2,2,2,2,1,2,1,2,2,10,2,2,2,2,1,2,2,1,2,2,1,1,1,4,3,2,3,2492.74381742715,10,21
